"numero_tombo","especie","autoria","familia","genero","nome_comum","dia_inicio","mes_inicio","ano_inicio","dia_fim","mes_fim","ano_fim","data_registro","coletor","determinador","tipo_de_registro","pais","codigo_pais","estado","municipio","localidade","latitude","longitude","numero_individuos","ambiente"
"MN-0043530","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","28","01","2016","28","01","2016","28/01/2016","T. Almeida","F. Oliveira","Observação","BRASIL","BR","Rio Grande do Sul","Aceguá","Coxilhas de Aceguá","-31.67318","-54.17048","3","Campos do Pampa"
"MN-0043189","Procnias nudicollis","(Vieillot, 1817)","Cotingidae","Procnias","Araponga-do-nordeste","09","10","2016","09","12","2016","09/10/2016","M. Andrade","C. Lima","Observação em campo","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.0478","-48.00958","2","Floresta Atlântica"
"MN-0043389","Ramphastos tucanus","Linnaeus, 1758","Ramphastidae","Ramphastos","Tucano-grande-de-papo-branco","27","10","2022","27","11","2022","27/10/2022 05:45","P. Santos","A. Maciel","Registro fotográfico","Brasil","BR","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-2.91253","-60.00606","1","Floresta de terra firme"
"MN-0043446","Dipteryx alata","Vogel","Fabaceae","Dipteryx","Baru","05","03","2017","05","06","2017","05/03/2017 19:55","D. Rocha","T. Almeida","Material preservado (herbário)","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.31259","-52.90945","1","Cerrado / campo limpo"
"MN-0043500","Pyrrhura griseipectus","Salvadori, 1900","Psittacidae","Pyrrhura","Tiriba-de-peito-cinza","10","02","2020","10","02","2020","10/02/2020","F. Oliveira","B. Carvalho","Registro fotográfico","Brasil","BR","Ceará","Quixadá","Serra do Estevão","-4.94848","-39.05333","1","Caatinga / serra úmida"
"MN-0042963","Mergus octosetaceus","Vieillot, 1817","Anatidae","Mergus","Pato-mergulhão","18","03","2023","18","05","2023","18/03/2023","C. Lima","D. Rocha","Observação","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.27903","-46.55187","1","Campo rupestre / rio de planalto"
"MN-0042928","Caryocar brasiliense","Cambess.","Caryocaraceae","Caryocar","Pequi","13","06","2019","13","09","2019","13/06/2019","L. Souza","F. Oliveira","Espécime preservado","Brasil","BR","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-14.16191","-47.52808","2","Cerrado sentido restrito"
"MN-0043234","Anodorhynchus hyacinthinus","(Latham, 1790)","Psittacidae","Anodorhynchus","Arara-azul-grande","08","08","2024","08","08","2024","08/08/2024","A. Maciel","R. Cunha","Registro fotográfico","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-18.97086","-57.63548","1","Planície de inundação do Pantanal"
"MN-0043184","Caryocar brasiliense","Cambess.","Caryocaraceae","Caryocar","Pequi","05","10","2019","05","10","2019","05/10/2019","A. Maciel","B. Carvalho","Coleta","Brasil","BR","Distrito Federal","Brasília","Estação Ecológica de Águas Emendadas","-15.55375","-47.5974","1","Cerrado / vereda"
"","Sporophila albogularis","(Spix, 1825)","Thraupidae","Sporophila","Golinho","06","10","2023","06","12","2023","06/10/2023","A. Maciel","C. Lima","Observação","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.63388","-38.49188","3","Caatinga arbórea"
"MN-0043528","Mycteria americana","Linnaeus, 1758","Ciconiidae","Mycteria","Cabeça-seca","10","11","2020","10","01","2021","10/11/2020","P. Santos","P. Santos","Observação em campo","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-18.97511","-57.68489","2","Planície de inundação do Pantanal"
"MN-0043418","Euterpe edulis","Mart.","Arecaceae","Euterpe","Palmito-juçara","09","10","2024","09","11","2024","09/10/2024","C. Lima","J. Pereira","Espécime preservado","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.05368","-47.97326","1","Floresta Atlântica"
"MN-0043887","Caryocar brasiliense","Cambess.","Caryocaraceae","Caryocar","Pequi","","03","2024","","06","2024","03/2024","G. Nunes","T. Almeida","Espécime preservado","Brasil","BR","Distrito Federal","Brasília","Estação Ecológica de Águas Emendadas","-15.5855","-47.61249","1","Cerrado / vereda"
"MN-0043845","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","07","07","2019","07","10","2019","07/07/2019","M. Andrade","M. Andrade","Material preservado (herbário)","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.52273","-37.28107","1","Caatinga arbórea"
"MN-0043751","Victoria amazonica","(Poepp.) J.C.Sowerby","Nymphaeaceae","Victoria","Vitória-régia","14","04","2024","14","04","2024","14/04/2024","L. Souza","B. Carvalho","Espécime preservado","Brasil","BR","Amazonas","Tefé","RDS Mamirauá","-3.07373","-64.84141","","Várzea amazônica"
"MN-0043148","Spinus yarrellii","(Audubon, 1839)","Fringillidae","Spinus","Pintassilgo-do-nordeste","27","06","2016","27","08","2016","27/06/2016","M. Andrade","T. Almeida","Observação em campo","Brasil","BR","Ceará","Quixadá","Serra do Estevão","-4.95968","-39.05921","3","Caatinga / serra úmida"
"MN-0043435","Chrysocyon brachyurus","(Illiger, 1815)","Canidae","Chrysocyon","Lobo-guará","03","01","2018","03","04","2018","03/01/2018","P. Santos","J. Pereira","Armadilha fotográfica","","BR","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-14.17379","-47.48477","1","Cerrado sentido restrito"
"MN-0043081","Victoria amazonica","(Poepp.) J.C.Sowerby","Nymphaeaceae","Victoria","Vitória-régia","13","04","2021","13","06","2021","13/04/2021","M. Andrade","D. Rocha","Material preservado (herbário)","Brasil","BR","Amazonas","Tefé","RDS Mamirauá","-3.06087","-64.79963","4","Várzea amazônica"
"MN-0043307","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","16","11","2020","16","11","2020","16/11/2020","T. Almeida","M. Andrade","Material preservado (herbário)","Brasil","BR","Bahia","Curaçá","Riacho Melância","-9.20374","-39.824","2","Caatinga arbustiva"
"MN-0043659","Mergus octosetaceus","Vieillot, 1817","Anatidae","Mergus","Pato-mergulhão","12","09","2024","12","10","2024","12/09/2024","C. Lima","F. Oliveira","Registro fotográfico","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.29056","-46.55607","2","Campo rupestre / rio de planalto"
"MN-0043625","Chrysocyon brachyurus","(Illiger, 1815)","Canidae","Chrysocyon","Lobo-guará","18","09","2019","18","01","2020","18/09/2019","R. Cunha","C. Lima","Registro fotográfico","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.25289","-52.90163","2","Cerrado / campo limpo"
"MN-0043734","Phylloscartes ceciliae","Teixeira, 1987","Tyrannidae","Phylloscartes","Cara-pintada","22","05","2016","22","08","2016","22/05/2016","B. Carvalho","G. Nunes","Observação","Brasil","BR","Alagoas","Murici","Estação Ecológica de Murici","-9.17579","-35.87872","3","Floresta Atlântica"
"MN-0043063","Euterpe edulis","Mart.","Arecaceae","Euterpe","Palmito-juçara","20","04","2018","20","04","2018","20/04/2018","R. Cunha","C. Lima","Espécime preservado","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.0527","-47.96215","4","Floresta Atlântica"
"MN-0042985","Procnias nudicollis","(Vieillot, 1817)","Cotingidae","Procnias","Araponga-do-nordeste","20","03","2021","20","05","2021","20/03/2021","T. Almeida","T. Almeida","Registro fotográfico","Brasil","BR","Pernambuco","Tamandaré","Reserva Biológica de Saltinho","-8.69207","-35.12862","2","Floresta Atlântica"
"MN-0043458","Procnias nudicollis","(Vieillot, 1817)","Cotingidae","Procnias","Araponga-do-nordeste","05","01","2017","05","01","2017","05/01/2017","T. Almeida","P. Santos","Registro fotográfico","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.06931","-48.01923","6","Floresta Atlântica"
"MN-0043886","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","25","08","2017","25","08","2017","25/08/2017","P. Santos","G. Nunes","Observação em campo","Brasil","BR","Rio Grande do Sul","Aceguá","Coxilhas de Aceguá","-31.67397","-54.18464","","Campos do Pampa"
"MN-0043248","Caiman yacare","(Daudin, 1802)","Alligatoridae","Caiman","Jacaré-do-pantanal","11","12","2016","11","03","2017","11/12/2016","J. Pereira","A. Maciel","Observação","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-19.04152","-57.65591","1","Planície de inundação do Pantanal"
"MN-0043080","Procnias nudicollis","(Vieillot, 1817)","Cotingidae","Procnias","Araponga-do-nordeste","04","06","2017","04","06","2017","04/06/2017","G. Nunes","J. Pereira","Observação em campo","BRASIL","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.08452","-47.98306","1","Floresta Atlântica"
"MN-0043289","Tangara cyanocephala","(Statius Müller, 1776)","Thraupidae","Tangara","Saíra-militar","25","12","2015","25","02","2016","25/12/2015","A. Maciel","C. Lima","Material preservado (herbário)","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.09325","-47.94566","1","Floresta Atlântica"
"MN-0042893","Ateles paniscus","(Linnaeus, 1758)","Atelidae","Ateles","Macaco-aranha-de-cara-vermelha","24","11","2016","24","12","2016","24/11/2016","F. Oliveira","A. Maciel","Observação","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.73958","-51.44095","2","Floresta de terra firme"
"MN-0043335","Anodorhynchus hyacinthinus","(Latham, 1790)","Psittacidae","Anodorhynchus","Arara-azul-grande","25","08","2019","25","08","2019","25/08/2019","L. Souza","C. Lima","Observação","BRASIL","BR","Mato Grosso do Sul","Miranda","RPPN Caiman","-19.90531","-56.31005","1","Planície de inundação do Pantanal"
"MN-0042892","Ramphastos tucanus","Linnaeus, 1758","Ramphastidae","Ramphastos","Tucano-grande-de-papo-branco","21","12","2022","21","02","2023","21/12/2022","G. Nunes","B. Carvalho","Observação em campo","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.71625","-51.48625","1","Floresta de terra firme"
"MN-0043507","Jabiru mycteria","(Lichtenstein, 1819)","Ciconiidae","Jabiru","Tuiuiú","12","01","2021","12","04","2021","12/01/2021","A. Maciel","J. Pereira","Observação em campo","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-19.01207","-57.65372","5","Planície de inundação do Pantanal"
"MN-0043067","Victoria amazonica","(Poepp.) J.C.Sowerby","Nymphaeaceae","Victoria","Vitória-régia","16","05","2021","16","06","2021","16/05/2021","C. Lima","A. Maciel","Coleta","Brasil","BR","Amazonas","Tefé","RDS Mamirauá","-3.08425","-64.79431","1","Várzea amazônica"
"MN-0042939","Anodorhynchus leari","Bonaparte, 1856","Psittacidae","Anodorhynchus","Arara-azul-de-lear","20","06","2016","20","06","2016","20/06/2016","M. Andrade","R. Cunha","Registro fotográfico","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.6276","-38.53908","3","Caatinga arbórea"
"MN-0043780","Tangara cyanocephala","(Statius Müller, 1776)","Thraupidae","Tangara","Saíra-militar","10","01","2020","10","01","2020","10/01/2020","T. Almeida","D. Rocha","Observação em campo","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.10202","-47.95459","1","Floresta Atlântica"
"MN-0043306","Tangara fastuosa","(Lesson, 1831)","Thraupidae","Tangara","Saíra-de-sete-cores","13","11","2018","13","11","2018","2018/11/13","F. Oliveira","F. Oliveira","Espécime preservado","Brasil","BR","Alagoas","Quebrangulo","Estação Ecológica de Pedra Talhada","-9.23982","-36.44981","1","Brejo de altitude"
"","Jabiru mycteria","(Lichtenstein, 1819)","Ciconiidae","Jabiru","Tuiuiú","23","10","2018","23","01","2019","23/10/2018","B. Carvalho","D. Rocha","Registro fotográfico","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-19.03745","-57.62755","6","Planície de inundação do Pantanal"
"MN-0043029","Antilophia galeata","(Lichtenstein, 1823)","Pipridae","Antilophia","Soldadinho","24","04","2017","24","04","2017","24/04/2017","T. Almeida","B. Carvalho","Observação","Brasil","BR","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-14.11745","-47.56173","5","Cerrado sentido restrito"
"MN-0043259","Spinus yarrellii","(Audubon, 1839)","Fringillidae","Spinus","Pintassilgo-do-nordeste","26","09","2021","26","09","2021","26/09/2021","R. Cunha","B. Carvalho","Observação","Brasil","BR","Bahia","Boa Nova","Parque Nacional de Boa Nova","-14.36331","-40.24414","2","Mata-de-cipó"
"MN-0043569","Tangara fastuosa","(Lesson, 1831)","Thraupidae","Tangara","Saíra-de-sete-cores","05","01","2016","05","01","2016","05/01/2016","D. Rocha","D. Rocha","Coleta","Brasil","BR","Alagoas","Quebrangulo","Estação Ecológica de Pedra Talhada","-9.21932","-36.42788","1","Brejo de altitude"
"MN-0043107","Tangara cyanocephala","(Statius Müller, 1776)","Thraupidae","Tangara","Saíra-militar","10","01","2016","10","02","2016","10/01/2016","M. Andrade","B. Carvalho","Espécime preservado","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.08505","-47.94227","3","Floresta Atlântica"
"MN-0042825","Brachyteles arachnoides","(É. Geoffroy, 1806)","Atelidae","Brachyteles","Muriqui-do-sul","28","11","2021","28","02","2022","28/11/2021","R. Cunha","M. Andrade","Registro fotográfico","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.08346","-47.95973","4","Floresta Atlântica"
"","Sporophila albogularis","(Spix, 1825)","Thraupidae","Sporophila","Golinho","07","12","2016","07","01","2017","07/12/2016","M. Andrade","P. Santos","Espécime preservado","Brasil","BR","Pernambuco","Buíque","Parque Nacional do Catimbau","-8.5242","-37.25863","5","Caatinga arbórea"
"MN-0043241","Mergus octosetaceus","Vieillot, 1817","Anatidae","Mergus","Pato-mergulhão","12","06","2016","12","07","2016","12/06/2016","D. Rocha","P. Santos","Observação em campo","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.26959","-46.49181","2","Campo rupestre / rio de planalto"
"MN-0043536","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","24","12","2016","24","03","2017","24/12/2016","J. Pereira","L. Souza","Material preservado (herbário)","Brasil","BR","Bahia","Curaçá","Riacho Melância","-9.2146","-39.85367","4","Caatinga arbustiva"
"MN-0043825","Ateles paniscus","(Linnaeus, 1758)","Atelidae","Ateles","Macaco-aranha-de-cara-vermelha","22","05","2022","22","07","2022","22/05/2022","C. Lima","T. Almeida","Observação em campo","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.74045","-51.44164","4","Floresta de terra firme"
"MN-0042947","Dipteryx alata","Vogel","Fabaceae","Dipteryx","Baru","25","10","2024","25","10","2024","25/10/2024 08:24","L. Souza","C. Lima","Espécime preservado","Brasil","BR","Goiás","Mineiros","Parque Nacional das Emas","-18.28655","-52.92645","2","Cerrado / campo limpo"
"MN-0043429","Jabiru mycteria","(Lichtenstein, 1819)","Ciconiidae","Jabiru","Tuiuiú","09","06","2024","09","06","2024","09/06/2024","L. Souza","R. Cunha","Observação","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.35965","-56.79011","1","Planície de inundação do Pantanal"
"MN-0043013","Paroaria dominicana","(Linnaeus, 1758)","Thraupidae","Paroaria","Cardeal-do-nordeste","17","05","2023","17","06","2023","17/05/2023","R. Cunha","F. Oliveira","Registro fotográfico","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.64815","-38.53096","5","Caatinga arbórea"
"DEMO-DATE-01","Panthera onca","(Linnaeus, 1758)","Felidae","Panthera","Onça-pintada","25","02","2024","25","12","2025","25/02/2024","A. Maciel","R. Cunha","Armadilha fotográfica","Brasil","BR","Mato Grosso","Poconé","Estação de armadilha fotográfica (Transpantaneira)","-17.35","-56.77","3","Planície de inundação do Pantanal"
"MN-0043865","Leopardus geoffroyi","(d'Orbigny & Gervais, 1844)","Felidae","Leopardus","Gato-do-mato-grande","15","04","2024","15","01","2025","15/04/2024","J. Pereira","D. Rocha","Armadilha fotográfica","Brasil","BR","Rio Grande do Sul","Aceguá","Coxilhas de Aceguá","-31.64965","-54.15419","1","Campos do Pampa"
"MN-0042850","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","21","08","2017","21","09","2017","21/08/2017","G. Nunes","B. Carvalho","Observação","Brasil","BR","Rio Grande do Sul","Santa Maria","Morro da Caturrita","-29.65954","-53.81859","2","Campos do Pampa"
"MN-0043295","Swietenia macrophylla","King","Meliaceae","Swietenia","Mogno","12","12","2020","12","02","2021","12/12/2020","R. Cunha","J. Pereira","Espécime preservado","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.58287","-55.93821","1","Floresta amazônica (sul)"
"MN-0043112","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","08","09","2022","08","09","2022","08/09/2022","M. Andrade","M. Andrade","Observação em campo","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.58891","-38.53666","2","Caatinga arbórea"
"MN-0043862","Dipteryx alata","Vogel","Fabaceae","Dipteryx","Baru","18","05","2022","18","05","2022","18/05/2022","B. Carvalho","C. Lima","Material preservado (herbário)","Brasil","BR","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-14.13366","-47.50689","3","Cerrado sentido restrito"
"MN-0043830","Brachyteles arachnoides","(É. Geoffroy, 1806)","Atelidae","Brachyteles","Muriqui-do-sul","24","05","2023","24","07","2023","24/05/2023","B. Carvalho","C. Lima","Observação em campo","Brasil","BR","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-22.423","-44.61493","1","Floresta Atlântica montana"
"MN-0043408","Procnias nudicollis","(Vieillot, 1817)","Cotingidae","Procnias","Araponga-do-nordeste","17","07","2017","17","09","2017","17/07/2017","M. Andrade","P. Santos","Observação","Brasil","BR","Pernambuco","Tamandaré","Reserva Biológica de Saltinho","-8.73557","-35.14073","3","Floresta Atlântica"
"MN-0043765","Ateles paniscus","(Linnaeus, 1758)","Atelidae","Ateles","Macaco-aranha-de-cara-vermelha","27","06","2016","27","06","2016","27/06/2016","P. Santos","G. Nunes","Observação","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.77514","-51.45385","1","Floresta de terra firme"
"MN-0042943","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","03","04","2019","03","07","2019","03/04/2019","T. Almeida","C. Lima","Registro fotográfico","Brasil","BR","Rio Grande do Sul","Aceguá","Coxilhas de Aceguá","-31.63902","-54.16141","2","Campos do Pampa"
"MN-0043844","Tapirus terrestris","(Linnaeus, 1758)","Tapiridae","Tapirus","Anta","14","02","2015","14","04","2016","14/02/2015","D. Rocha","P. Santos","Armadilha fotográfica","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.3263","-46.48891","1","Campo rupestre / rio de planalto"
"MN-0043706","Prosopis affinis","Spreng.","Fabaceae","Prosopis","Inhanduvá","23","07","2019","23","08","2019","23/07/2019 11:23","J. Pereira","J. Pereira","Material preservado (herbário)","Brasil","BR","Rio Grande do Sul","Barra do Quaraí","Parque Estadual do Espinilho","-30.20718","-57.55959","3","Savana-estépica (Pampa)"
"MN-0043744","Brachyteles arachnoides","(É. Geoffroy, 1806)","Atelidae","Brachyteles","Muriqui-do-sul","13","02","2021","13","02","2021","13/02/2021","A. Maciel","G. Nunes","Observação em campo","Brasil","BR","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-24.07046","-47.98906","3","Floresta Atlântica"
"","Euterpe edulis","Mart.","Arecaceae","Euterpe","Palmito-juçara","08","03","2021","08","04","2021","08/03/2021","A. Maciel","R. Cunha","Espécime preservado","Brasil","BR","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-22.46394","-44.56704","3","Floresta Atlântica montana"
"MN-0043192","Ateles paniscus","(Linnaeus, 1758)","Atelidae","Ateles","Macaco-aranha-de-cara-vermelha","13","01","2022","13","02","2022","13/01/2022","F. Oliveira","C. Lima","Registro fotográfico","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.77673","-51.4837","2","Floresta de terra firme"
"MN-0043166","Mergus octosetaceus","Vieillot, 1817","Anatidae","Mergus","Pato-mergulhão","12","10","2015","12","01","2016","12/10/2015","F. Oliveira","T. Almeida","Observação em campo","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.26039","-46.55828","6","Campo rupestre / rio de planalto"
"MN-0043570","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","12","10","2023","12","10","2023","12/10/2023","B. Carvalho","M. Andrade","Observação em campo","Brasil","BR","Rio Grande do Sul","Aceguá","Coxilhas de Aceguá","-31.64417","-54.18421","1","Campos do Pampa"
"MN-0043454","Sporophila albogularis","(Spix, 1825)","Thraupidae","Sporophila","Golinho","24","01","2023","24","01","2023","24/01/2023","A. Maciel","J. Pereira","Material preservado (herbário)","Brasil","BR","Bahia","Jeremoabo","Estação Ecológica Raso da Catarina","-9.60663","-38.50849","1","Caatinga arbórea"
"MN-0043086","Spinus yarrellii","(Audubon, 1839)","Fringillidae","Spinus","Pintassilgo-do-nordeste","19","06","2021","19","07","2021","19/06/2021","B. Carvalho","A. Maciel","Registro fotográfico","Brasil","BR","Bahia","Boa Nova","Parque Nacional de Boa Nova","-14.31762","-40.16613","1","Mata-de-cipó"
"MN-0042863","Pteronura brasiliensis","(Zimmermann, 1780)","Mustelidae","Pteronura","Ariranha","19","01","2016","19","01","2016","19/01/2016","D. Rocha","T. Almeida","Observação","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.32612","-56.79027","3","Planície de inundação do Pantanal"
"MN-0043028","Jabiru mycteria","(Lichtenstein, 1819)","Ciconiidae","Jabiru","Tuiuiú","08","03","2024","08","04","2024","08/03/2024","P. Santos","R. Cunha","Observação","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.33726","-56.74992","","Planície de inundação do Pantanal"
"MN-0043151","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","25","04","2016","25","04","2016","25/04/2016","A. Maciel","F. Oliveira","Registro fotográfico","Brasil","BR","Rio Grande do Sul","Aceguá","Coxilhas de Aceguá","-31.66007","-54.1354","1","Campos do Pampa"
"MN-0043477","Procnias nudicollis","(Vieillot, 1817)","Cotingidae","Procnias","Araponga-do-nordeste","04","01","2024","04","01","2024","04/01/2024","R. Cunha","J. Pereira","Observação em campo","Brasil","BR","Pernambuco","Tamandaré","Reserva Biológica de Saltinho","-8.70665","-35.20274","4","Floresta Atlântica"
"MN-0043767","Tangara fastuosa","(Lesson, 1831)","Thraupidae","Tangara","Saíra-de-sete-cores","08","10","2022","08","01","2023","08/10/2022","C. Lima","D. Rocha","Observação","Brasil","BR","Pernambuco","Tamandaré","Reserva Biológica de Saltinho","-8.69465","-35.15372","2","Floresta Atlântica"
"MN-0043735","Rhea americana","(Linnaeus, 1758)","Rheidae","Rhea","Ema","14","05","2021","14","05","2021","14/05/2021","C. Lima","J. Pereira","Observação em campo","Brasil","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.30834","-46.48587","2","Campo rupestre / rio de planalto"
"DEMO-COORD-03","Penelope jacucaca","Spix, 1825","Cracidae","Penelope","Jacucaca","04","07","2018","04","08","2018","04/07/2018","G. Nunes","T. Almeida","Observação","Brasil","BR","Bahia","Jeremoabo","Coordenada nao registrada","0","0","1","Caatinga arbórea"
"MN-0043893","Psophia viridis","Spix, 1825","Psophiidae","Psophia","Jacamim-de-costas-verdes","20","02","2022","20","02","2022","20/02/2022","B. Carvalho","J. Pereira","Observação","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.63655","-55.9641","1","Floresta amazônica (sul)"
"","Bertholletia excelsa","Bonpl.","Lecythidaceae","Bertholletia","Castanheira-do-pará","03","01","2018","03","02","2018","03/01/2018","R. Cunha","L. Souza","Coleta","Brasil","BR","Mato Grosso","Novo Mundo","RPPN Cristalino","-9.62368","-55.92053","1","Floresta amazônica (sul)"
"MN-0043004","Swietenia macrophylla","King","Meliaceae","Swietenia","Mogno","12","10","2015","12","12","2015","12/10/2015","G. Nunes","R. Cunha","Material preservado (herbário)","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.7625","-51.44077","6","Floresta de terra firme"
"MN-0043810","Mergus octosetaceus","Vieillot, 1817","Anatidae","Mergus","Pato-mergulhão","26","07","2018","26","09","2018","26/07/2018","M. Andrade","T. Almeida","Registro fotográfico","BRASIL","BR","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-20.27571","-46.47725","1","Campo rupestre / rio de planalto"
"MN-0043407","Ateles paniscus","(Linnaeus, 1758)","Atelidae","Ateles","Macaco-aranha-de-cara-vermelha","02","10","2023","02","10","2023","02/10/2023","J. Pereira","F. Oliveira","Observação em campo","Brasil","BR","Pará","Melgaço","Floresta Nacional de Caxiuanã","-1.76585","-51.48488","3","Floresta de terra firme"
"MN-0043740","Crax blumenbachii","Spix, 1825","Cracidae","Crax","Mutum-do-sudeste","26","08","2024","26","08","2024","26/08/2024","R. Cunha","C. Lima","Observação","Brasil","BR","Espírito Santo","Linhares","Reserva Natural Vale","-19.17788","-40.07661","5","Floresta de tabuleiro"
"MN-0042911","Spinus yarrellii","(Audubon, 1839)","Fringillidae","Spinus","Pintassilgo-do-nordeste","13","10","2016","13","10","2016","13/10/2016","J. Pereira","R. Cunha","Registro fotográfico","Brasil","BR","Ceará","Quixadá","Serra do Estevão","-4.99794","-39.01356","1","Caatinga / serra úmida"
"MN-0043186","Sturnella superciliaris","(Bonaparte, 1850)","Icteridae","Sturnella","Polícia-inglesa-do-sul","08","02","2024","08","02","2024","08/02/2024","L. Souza","B. Carvalho","Observação","Brasil","BR","Rio Grande do Sul","Santa Maria","Morro da Caturrita","-29.6677","-53.76805","3","Campos do Pampa"
"MN-0043576","Pteronura brasiliensis","(Zimmermann, 1780)","Mustelidae","Pteronura","Ariranha","09","04","2019","09","04","2019","09/04/2019","G. Nunes","F. Oliveira","Observação","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.39415","-56.78589","3","Planície de inundação do Pantanal"
"MN-0043037","Blastocerus dichotomus","(Illiger, 1815)","Cervidae","Blastocerus","Cervo-do-pantanal","22","09","2016","22","09","2016","22/09/2016","P. Santos","J. Pereira","Observação","Brasil","BR","Mato Grosso","Poconé","Porto Jofre (Transpantaneira)","-17.31048","-56.78441","5","Planície de inundação do Pantanal"
"MN-0043036","Jabiru mycteria","(Lichtenstein, 1819)","Ciconiidae","Jabiru","Tuiuiú","01","08","2020","01","08","2020","2020/08/01","A. Maciel","G. Nunes","Observação","Brasil","BR","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal","-18.98693","-57.63757","2","Planície de inundação do Pantanal"
